Hprev,Cprev,Deaths,output,replicate
3.14285714285714,2.71428571428571,423,Ens000c,17
3.0,5.0,396,Ens000c,18
8.0,4.42857142857143,398,Ens000c,19
2.42857142857143,4.57142857142857,414,Ens000c,20
6.0,1.14285714285714,876,Ens000d,1
0.0,0.0,979,Ens000d,2
1.14285714285714,1.0,935,Ens000d,3
1.28571428571429,2.28571428571429,949,Ens000d,4
0.0,1.0,963,Ens000d,5
1.0,1.85714285714286,970,Ens000d,6
0.285714285714286,0.142857142857143,986,Ens000d,7
0.0,0.0,936,Ens000d,8
1.0,3.85714285714286,956,Ens000d,9
0.714285714285714,0.0,968,Ens000d,10
1.85714285714286,1.57142857142857,894,Ens000d,11
1.14285714285714,1.85714285714286,931,Ens000d,12
5.28571428571429,2.71428571428571,810,Ens000d,13
0.428571428571429,1.57142857142857,887,Ens000d,14
1.0,0.142857142857143,1007,Ens000d,15
1.0,1.0,973,Ens000d,16
3.85714285714286,2.42857142857143,868,Ens000d,17
4.0,1.57142857142857,860,Ens000d,18
2.57142857142857,3.0,968,Ens000d,19
0.714285714285714,1.42857142857143,911,Ens000d,20
0.0,10.8571428571429,120,Ens000e,1
0.428571428571429,11.7142857142857,119,Ens000e,2
0.0,14.4285714285714,142,Ens000e,3
1.0,10.4285714285714,102,Ens000e,4
1.0,13.1428571428571,126,Ens000e,5
0.0,16.0,138,Ens000e,6
2.42857142857143,21.0,100,Ens000e,7
0.0,15.1428571428571,122,Ens000e,8
1.0,11.4285714285714,109,Ens000e,9
2.28571428571429,10.2857142857143,114,Ens000e,10
0.0,9.0,123,Ens000e,11
0.0,19.8571428571429,107,Ens000e,12
0.0,18.7142857142857,110,Ens000e,13
0.0,13.0,127,Ens000e,14
0.0,16.0,117,Ens000e,15
0.0,7.71428571428571,138,Ens000e,16
0.857142857142857,12.0,118,Ens000e,17
0.0,11.5714285714286,119,Ens000e,18
0.0,15.7142857142857,121,Ens000e,19
0.0,10.0,121,Ens000e,20
178.0,50.5714285714286,2215,Ens000f,1
90.7142857142857,29.0,2436,Ens000f,2
143.571428571429,38.2857142857143,2230,Ens000f,3
150.142857142857,50.8571428571429,2218,Ens000f,4
160.142857142857,48.0,2160,Ens000f,5
97.4285714285714,29.0,2324,Ens000f,6
239.142857142857,52.1428571428571,1998,Ens000f,7
83.5714285714286,25.4285714285714,2578,Ens000f,8
109.714285714286,36.5714285714286,2345,Ens000f,9
179.0,61.0,2146,Ens000f,10
90.2857142857143,40.5714285714286,2460,Ens000f,11
245.857142857143,64.7142857142857,2062,Ens000f,12
203.0,53.4285714285714,1978,Ens000f,13
159.857142857143,45.0,2235,Ens000f,14
149.714285714286,47.5714285714286,2186,Ens000f,15
154.428571428571,42.5714285714286,2169,Ens000f,16
211.571428571429,56.5714285714286,2077,Ens000f,17
151.285714285714,51.8571428571429,2222,Ens000f,18
131.0,27.7142857142857,2349,Ens000f,19
143.714285714286,52.5714285714286,2229,Ens000f,20
0,0,0,Ens000g,1
0,0,0,Ens000g,2
0,0,0,Ens000g,3
0,0,0,Ens000g,4
0,0,0,Ens000g,5
0,0,0,Ens000g,6
0,0,0,Ens000g,7
0,0,0,Ens000g,8
0,0,0,Ens000g,9
0,0,0,Ens000g,10
0,0,0,Ens000g,11
0,0,0,Ens000g,12
0,0,0,Ens000g,13
0,0,0,Ens000g,14
0,0,0,Ens000g,15
0.0,0.0,0,Ens000g,16
0,0,0,Ens000g,17
0,0,0,Ens000g,18
0,0,0,Ens000g,19
0,0,0,Ens000g,20
24.0,4.42857142857143,443,Ens000h,1
37.0,10.7142857142857,1121,Ens000h,2
28.5714285714286,6.71428571428571,462,Ens000h,3
17.8571428571429,5.0,254,Ens000h,4
56.7142857142857,11.1428571428571,1097,Ens000h,5
31.1428571428571,7.71428571428571,589,Ens000h,6
24.5714285714286,2.42857142857143,390,Ens000h,7
13.0,1.57142857142857,161,Ens000h,8
14.2857142857143,0.857142857142857,221,Ens000h,9
12.2857142857143,2.85714285714286,358,Ens000h,10
24.0,6.71428571428571,571,Ens000h,11
36.5714285714286,10.2857142857143,588,Ens000h,12
31.0,8.57142857142857,486,Ens000h,13
34.2857142857143,5.85714285714286,457,Ens000h,14
35.4285714285714,14.4285714285714,1089,Ens000h,15
29.8571428571429,8.42857142857143,572,Ens000h,16
25.1428571428571,4.85714285714286,361,Ens000h,17
33.1428571428571,10.1428571428571,710,Ens000h,18
26.4285714285714,6.42857142857143,714,Ens000h,19
35.4285714285714,11.1428571428571,1444,Ens000h,20
0.0,3.57142857142857,2560,Ens000i,1
0.0,5.42857142857143,2554,Ens000i,2
0.0,1.0,2548,Ens000i,3
0.0,4.14285714285714,2659,Ens000i,4
0.0,9.57142857142857,2586,Ens000i,5
0.0,5.0,2625,Ens000i,6
1.0,6.71428571428571,2486,Ens000i,7
0.0,3.71428571428571,2546,Ens000i,8
0.0,1.14285714285714,2512,Ens000i,9
0.0,6.0,2522,Ens000i,10
0.0,3.85714285714286,2627,Ens000i,11
0.0,1.71428571428571,2445,Ens000i,12
0.0,1.14285714285714,2640,Ens000i,13
0.0,4.14285714285714,2560,Ens000i,14
0.0,3.28571428571429,2595,Ens000i,15
0.0,5.42857142857143,2647,Ens000i,16
1.0,6.14285714285714,2549,Ens000i,17
0.0,3.0,2560,Ens000i,18
0.0,4.42857142857143,2528,Ens000i,19
0.0,5.71428571428571,2517,Ens000i,20
2.0,3.0,6,Ens000j,1
1.0,0.571428571428571,4,Ens000j,2
0.0,0.0,0,Ens000j,3
0.0,0.0,1,Ens000j,4
0.571428571428571,0.0,0,Ens000j,5
0.0,0.0,3,Ens000j,6
0.0,0.0,0,Ens000j,7
0.0,0.0,1,Ens000j,8
0.0,0.0,0,Ens000j,9
0.0,0.0,3,Ens000j,10
0.0,0.0,1,Ens000j,11
0.0,0.0,2,Ens000j,12
1.28571428571429,1.14285714285714,6,Ens000j,13
0.0,0.0,0,Ens000j,14
1.0,0.0,0,Ens000j,15
0.0,1.0,0,Ens000j,16
0.0,1.0,0,Ens000j,17
0.0,0.0,2,Ens000j,18
2.0,1.0,3,Ens000j,19
0.0,0.0,0,Ens000j,20
206.857142857143,155.285714285714,630,Ens000k,1
201.142857142857,144.285714285714,620,Ens000k,2
280.857142857143,170.0,353,Ens000k,3
253.285714285714,165.571428571429,478,Ens000k,4
238.714285714286,140.571428571429,363,Ens000k,5
280.857142857143,158.857142857143,383,Ens000k,6
155.142857142857,78.5714285714286,119,Ens000k,7
245.857142857143,164.857142857143,455,Ens000k,8
248.571428571429,158.0,527,Ens000k,9
84.4285714285714,89.2857142857143,939,Ens000k,10
245.714285714286,161.428571428571,396,Ens000k,11
223.428571428571,153.0,599,Ens000k,12
239.142857142857,162.857142857143,493,Ens000k,13
213.714285714286,155.428571428571,676,Ens000k,14
210.428571428571,153.142857142857,648,Ens000k,15
259.714285714286,168.142857142857,547,Ens000k,16
272.142857142857,162.571428571429,462,Ens000k,17
195.714285714286,98.1428571428571,187,Ens000k,18
250.142857142857,155.0,343,Ens000k,19
234.0,146.142857142857,540,Ens000k,20
50.7142857142857,43.0,651,Ens000l,1
36.7142857142857,28.0,735,Ens000l,2
43.8571428571429,41.5714285714286,676,Ens000l,3
35.8571428571429,30.0,743,Ens000l,4
36.5714285714286,30.4285714285714,751,Ens000l,5
28.4285714285714,24.4285714285714,721,Ens000l,6
48.0,43.8571428571429,714,Ens000l,7
61.2857142857143,36.0,621,Ens000l,8
30.4285714285714,19.1428571428571,718,Ens000l,9
40.0,32.1428571428571,747,Ens000l,10
24.4285714285714,19.1428571428571,830,Ens000l,11
41.7142857142857,40.0,735,Ens000l,12
96.8571428571429,69.0,541,Ens000l,13
32.2857142857143,26.8571428571429,760,Ens000l,14
58.7142857142857,46.1428571428572,650,Ens000l,15
248.285714285714,88.5714285714286,402,Ens000l,16
35.2857142857143,30.2857142857143,701,Ens000l,17
18.2857142857143,15.2857142857143,752,Ens000l,18
34.8571428571429,35.5714285714286,700,Ens000l,19
78.0,50.2857142857143,588,Ens000l,20
2.0,4.57142857142857,114,Ens000m,1
1.0,0.0,35,Ens000m,2
0.714285714285714,0.285714285714286,21,Ens000m,3
0.571428571428571,1.0,38,Ens000m,4
0.0,0.428571428571429,16,Ens000m,5
4.85714285714286,4.85714285714286,43,Ens000m,6
3.28571428571429,1.14285714285714,28,Ens000m,7
6.14285714285714,1.0,42,Ens000m,8
2.14285714285714,1.57142857142857,110,Ens000m,9
6.28571428571429,2.0,46,Ens000m,10
2.0,0.285714285714286,11,Ens000m,11
1.71428571428571,0.714285714285714,27,Ens000m,12
5.42857142857143,4.57142857142857,121,Ens000m,13
2.0,2.85714285714286,32,Ens000m,14
1.0,0.857142857142857,35,Ens000m,15
1.85714285714286,0.142857142857143,21,Ens000m,16
3.28571428571429,1.0,19,Ens000m,17
3.85714285714286,2.42857142857143,30,Ens000m,18
0.0,0.0,9,Ens000m,19
2.57142857142857,1.0,27,Ens000m,20
0.0,0.0,0,Ens000n,1
0.0,0.0,0,Ens000n,2
0.0,0.0,0,Ens000n,3
0,0,0,Ens000n,4
0.0,0.0,0,Ens000n,5
0,0,0,Ens000n,6
0.0,0.0,0,Ens000n,7
0.0,0.0,0,Ens000n,8
0,0,0,Ens000n,9
0.0,0.0,0,Ens000n,10
0,0,0,Ens000n,11
0.0,0.0,0,Ens000n,12
0,0,0,Ens000n,13
0.0,0.0,0,Ens000n,14
0,0,0,Ens000n,15
0.0,0.0,0,Ens000n,16
0,0,0,Ens000n,17
0,0,0,Ens000n,18
0.0,0.0,0,Ens000n,19
0,0,0,Ens000n,20
0,0,0,Ens000o,1
0.0,0.0,0,Ens000o,2
0.0,0.0,0,Ens000o,3
0.0,0.0,0,Ens000o,4
0.0,0.0,0,Ens000o,5
0.0,0.0,0,Ens000o,6
0.0,0.0,0,Ens000o,7
0.0,0.0,0,Ens000o,8
0.0,0.0,0,Ens000o,9
0.0,0.0,0,Ens000o,10
0.0,0.0,0,Ens000o,11
0.0,0.0,0,Ens000o,12
0.0,0.0,0,Ens000o,13
0.0,0.0,0,Ens000o,14
0.0,0.0,0,Ens000o,15
0.0,0.0,0,Ens000o,16
0.0,0.0,0,Ens000o,17
0,0,0,Ens000o,18
0.0,0.0,0,Ens000o,19
0.0,0.0,0,Ens000o,20
0,0,0,Ens000p,1
0,0,0,Ens000p,2
0,0,0,Ens000p,3
0,0,0,Ens000p,4
0,0,0,Ens000p,5
0,0,0,Ens000p,6
0,0,0,Ens000p,7
0,0,0,Ens000p,8
0,0,0,Ens000p,9
0,0,0,Ens000p,10
0,0,0,Ens000p,11
0,0,0,Ens000p,12
0,0,0,Ens000p,13
0,0,0,Ens000p,14
0,0,0,Ens000p,15
0,0,0,Ens000p,16
0,0,0,Ens000p,17
0,0,0,Ens000p,18
0,0,0,Ens000p,19
0,0,0,Ens000p,20
0.0,2.71428571428571,1098,Ens000q,1
0.0,3.14285714285714,1088,Ens000q,2
0.0,5.42857142857143,1113,Ens000q,3
1.0,2.0,1094,Ens000q,4
0.0,1.0,1115,Ens000q,5
0.0,6.57142857142857,1108,Ens000q,6
0.0,3.0,1106,Ens000q,7
0.0,4.14285714285714,1137,Ens000q,8
0.0,4.14285714285714,1056,Ens000q,9
0.428571428571429,1.57142857142857,1094,Ens000q,10
0.0,6.42857142857143,1066,Ens000q,11
0.857142857142857,1.57142857142857,1125,Ens000q,12
0.142857142857143,2.85714285714286,1088,Ens000q,13
0.0,6.14285714285714,1115,Ens000q,14
0.0,1.0,1108,Ens000q,15
0.0,5.57142857142857,1083,Ens000q,16
0.0,1.0,1123,Ens000q,17
0.0,1.28571428571429,1074,Ens000q,18
0.0,0.0,1100,Ens000q,19
0.0,10.2857142857143,1122,Ens000q,20
0.0,0.0,2,Ens000r,1
0.0,0.0,0,Ens000r,2
0.142857142857143,0.857142857142857,1,Ens000r,3
0.0,0.0,0,Ens000r,4
0.285714285714286,0.285714285714286,1,Ens000r,5
0.0,0.0,1,Ens000r,6
0.0,0.0,0,Ens000r,7
0.0,0.0,0,Ens000r,8
0.0,0.0,0,Ens000r,9
0.0,0.0,0,Ens000r,10
0.0,0.0,3,Ens000r,11
0.0,0.0,1,Ens000r,12
0.0,0.0,0,Ens000r,13
0.0,0.0,0,Ens000r,14
0.0,0.0,0,Ens000r,15
0.0,0.0,1,Ens000r,16
1.14285714285714,0.0,1,Ens000r,17
0.0,0.0,1,Ens000r,18
0.0,0.428571428571429,3,Ens000r,19
0.142857142857143,0.857142857142857,3,Ens000r,20
6.0,81.8571428571429,2823,Ens000s,1
5.57142857142857,94.2857142857143,2708,Ens000s,2
10.5714285714286,118.0,2756,Ens000s,3
11.7142857142857,96.8571428571429,2783,Ens000s,4
63.5714285714286,272.428571428571,2261,Ens000s,5
10.4285714285714,72.4285714285714,2886,Ens000s,6
13.2857142857143,114.285714285714,2816,Ens000s,7
4.28571428571429,115.0,2834,Ens000s,8
7.57142857142857,92.7142857142857,2847,Ens000s,9
7.71428571428571,115.0,2746,Ens000s,10
11.2857142857143,105.857142857143,2782,Ens000s,11
23.4285714285714,178.428571428571,2582,Ens000s,12
7.71428571428571,77.0,2851,Ens000s,13
15.2857142857143,134.428571428571,2858,Ens000s,14
8.85714285714286,120.714285714286,2883,Ens000s,15
11.7142857142857,104.857142857143,2859,Ens000s,16
5.85714285714286,68.8571428571429,2778,Ens000s,17
23.8571428571429,172.285714285714,2676,Ens000s,18
6.28571428571429,96.5714285714286,2819,Ens000s,19
8.14285714285714,108.571428571429,2848,Ens000s,20
98.0,23.4285714285714,82,Ens000t,1
97.5714285714286,24.5714285714286,123,Ens000t,2
96.1428571428571,14.0,103,Ens000t,3
167.285714285714,28.7142857142857,139,Ens000t,4
89.4285714285714,19.5714285714286,66,Ens000t,5
